0;"http://passport.nexon.net/?PART=/Registration/AgeCheck"
1;"http://passport.nexon.net/WZ.ASPX?PART=/Accounts/ForgotId"
2;"http://passport.nexon.net/WZ.ASPX?PART=/Accounts/ForgotPassword"
3;"http://maplestory.nexon.net/WZ.ASPX?PART=/Downloads/GamePatches"
4;"http://maplestory.nexon.net/?PART=/News/Notice&bbsidx=3255"
5;"http://billing.nexon.net/WZ.ASPX?PART=/Purchasing/Account"
6;"http://nxcache.nexon.net/maplestory/ending/ending_ms.html"
7;"http://passport.nexon.net/?PART=/MyMaple/Verifycode"
8;"Tahoma"
9;"Arial Narrow"
10;"Eqp"
11;"Setup"
12;"Beginner"
13;"Warrior"
14;"Bowman"
15;"Thief"
16;"Pirate"
17;"Manager"
18;"Cygnus Knights"
19;"Available to"
20;"SuperGM"
21;"MWLB"
22;"Swordman"
23;"Fighter"
24;"Crusader"
25;"Hero"
26;"Page"
27;"White Knight"
28;"Paladin"
29;"Spearman"
30;"Dragon Knight"
31;"Dark Knight"
32;"Wizard"
33;"Mage"
34;"Arch Mage"
35;"Wizard (Fire,Poison)"
36;"Mage(Fire, Poison)"
37;"Arch Mage(Fire,Poison)"
38;"Wizard(Ice,Lightning)"
39;"Mage(Ice,Lightning)"
40;"Arch Mage(Ice,Lightning)"
41;"Cleric"
42;"Priest"
43;"Bishop"
44;"Archer"
45;"Hunter"
46;"Ranger"
47;"Bowmaster"
48;"Crossbow man"
49;"Sniper"
50;"Marksman"
51;"Rogue"
52;"Assassin"
53;"Hermit"
54;"Night Lord"
55;"Bandit"
56;"Chief Bandit"
57;"Shadower"
58;"Brawler"
59;"Marauder"
60;"Buccaneer"
61;"Gunslinger"
62;"Outlaw"
63;"Corsair"
64;"Noblesse"
65;"There are too many requests on the server at this point. Please try again later."
66;"You can't do it once you're dead."
67;"Will you go back to the main menu?"
68;"Press check button first\r\nand see if the name is available."
69;"Your SSN doesn't match.\r\nPlease try again."
70;"You can't create a character anymore."
71;"Are you sure you want to delete the character?"
72;"[Warning]\r\nIf the name contains a foul language or anything similar,\r\nyour account may be subject to restrictions."
73;"The name '%s' is taken."
74;"The name '%s' is available."
75;"The namecheck didn't work \r\ndue to an unknown error."
76;"The character wasn't made \r\ndue to an unknown error."
77;"The channel you selected is currently unavailable.\r\n Please select another channel or try again later."
78;"The connection has been lost. Please try again later. \r\nIf this error occurs again, please visit (GameGuard website) for more information."
79;"There was an error trying to connect to the game server.\r\nPlease try again later."
80;"We are unable to connect to the login server due to a server check, a firewall block or other network issues. \r\n Please check the MapleStory homepage for ongoing server checks as well as your firewall settings."
81;"Check out the MapleStory Notice board."
82;"You have been disconnected from the login server. \r\nPlease try again later."
83;"There is currently not enough available memory to run MapleStory.\r\nPlease visit the FAQ section at maplestory.nexon.net for further details."
84;"We were unable to locate a MapleStory data file on your computer.\r\nPlease download the latest client from maplestory.nexon.net."
85;"The client is outdated. Please download the latest client from maplestory.nexon.net."
